run_accession	sample_alias	experiment_title	read_count	fastq_bytes
ERR377023	gRNA_site_2_against_26_GPI_genes_control_rep4-sc-2013-09-27T10:27:26Z-1710015	Illumina MiSeq paired end sequencing	3119026	92029244;124739033
ERR381933	JM8_5_clone3_NAG_Indel-sc-2013-09-27T10:53:35Z-1710018	Illumina MiSeq paired end sequencing	692322	44763731;54904597
ERR381936	JM8_5_clone6_NAG_Indel-sc-2013-09-27T10:57:05Z-1710021	Illumina MiSeq paired end sequencing	661180	41285740;50833938
ERR381952	JM8_5_PigA3_transient_tf1-sc-2013-09-27T11:02:04Z-1710037	Illumina MiSeq paired end sequencing	2010088	128116823;154305208
ERR381962	JM8_5_clone7_NAG_Indel-sc-2013-09-27T10:57:11Z-1710022	Illumina MiSeq paired end sequencing	738824	24431594;34390671
ERR381963	JM8_5_clone8_NAG_Indel-sc-2013-09-27T11:00:48Z-1710023	Illumina MiSeq paired end sequencing	862652	28056867;38344198
ERR381965	JM8_5_clone10_NAG_Indel-sc-2013-09-27T10:56:41Z-1710025	Illumina MiSeq paired end sequencing	693658	22594222;30492915
ERR381968	JM8_8_clone3_NAG_Indel-sc-2013-09-27T11:01:18Z-1710028	Illumina MiSeq paired end sequencing	942164	30904243;42223629
ERR381972	JM8_8_clone7_NAG_Indel-sc-2013-09-27T11:01:41Z-1710032	Illumina MiSeq paired end sequencing	2236804	72317365;96786392
ERR381976	JM8_NAG_Indel-sc-2013-09-27T11:01:59Z-1710036	Illumina MiSeq paired end sequencing	1288122	42007246;57658567
ERR381978	JM8_5_PigA3_transient_tf2-sc-2013-09-27T11:02:10Z-1710038	Illumina MiSeq paired end sequencing	2008496	65767928;90564109
ERR455238	Lentiviral_mouse_genome_wide_gRNA_library_verion_1_preparation_2_replicated_on_plate_1-sc-1806289	Illumina HiSeq 2000 sequencing	15626209	379757670
ERR309961	JM8_5_clone2-sc-2013-06-06T20:56:12Z-1643296	Illumina MiSeq paired end sequencing	362583	46036485;53723355
ERR309970	JM8_8_clone1-sc-2013-06-06T21:04:10Z-1643305	Illumina MiSeq paired end sequencing	397012	50699514;58220719
ERR309972	JM8_8_clone3-sc-2013-06-06T21:05:22Z-1643307	Illumina MiSeq paired end sequencing	449356	56980456;65323055
ERR309975	JM8_8_clone6-sc-2013-06-06T21:14:19Z-1643310	Illumina MiSeq paired end sequencing	354938	45046558;51979241
ERR309976	JM8_8_clone7-sc-2013-06-06T21:07:51Z-1643311	Illumina MiSeq paired end sequencing	357200	45331678;52640266
ERR309981	GPI_geneset_1-sc-2013-06-06T20:55:04Z-1643291	Illumina MiSeq paired end sequencing	3410096	400341894;489181803
ERR338405	gPool_3_3-sc-2013-06-26T16:18:18Z-1654034	Illumina MiSeq paired end sequencing	415939	16651182;18481884
ERR338409	6TGR_3_3-sc-2013-06-26T16:20:20Z-1654038	Illumina MiSeq paired end sequencing	362719	12054181;13808771
ERR363672	aTox_resistant_mESC_gLib2-sc-2013-08-30T13:51:28Z-1686808	Illumina MiSeq paired end sequencing	5065938	91408132;112312906
ERR369578	gRNA_site_1_against_26_GPI_genes_control_rep1-sc-2013-09-12T15:06:16Z-1692097	Illumina MiSeq paired end sequencing	2231028	116067266;166893117
ERR369579	gRNA_site_2_against_26_GPI_genes_control_rep1-sc-2013-09-12T15:06:17Z-1692098	Illumina MiSeq paired end sequencing	2098192	102708294;147624408
ERR377001	Lentiviral_mouse_whole_genome_gRNA_library_verion_1_preparation_2-sc-2013-09-12T11:21:12Z-1691994	Illumina HiSeq 2000 sequencing	10246121	291385291
ERR377004	Flu_resistant_mESC_gLib1_1st_round_4MOI-sc-2013-09-18T13:07:04Z-1692977	Illumina MiSeq paired end sequencing	1377316	30026999;33129287
ERR377012	Mouse_whole_genome_gRNA_v1_mESC_library_2-sc-2013-09-12T11:21:21Z-1691996	Illumina HiSeq 2000 sequencing	10358278	282497502
ERR377013	Lentiviral_mouse_whole_genome_gRNA_library_verion_1_preparation_2-sc-2013-09-12T11:21:12Z-1691994	Illumina HiSeq 2000 sequencing	9807297	268827488
ERR377021	gRNA_site_2_against_26_GPI_genes_transfected_rep4-sc-2013-09-27T10:26:36Z-1710013	Illumina MiSeq paired end sequencing	2670992	82289758;111815644
ERR381934	JM8_5_clone4_NAG_Indel-sc-2013-09-27T10:53:42Z-1710019	Illumina MiSeq paired end sequencing	673586	42363745;51385359
ERR381935	JM8_5_clone5_NAG_Indel-sc-2013-09-27T10:56:56Z-1710020	Illumina MiSeq paired end sequencing	678496	42410095;52046831
ERR381938	JM8_5_clone8_NAG_Indel-sc-2013-09-27T11:00:48Z-1710023	Illumina MiSeq paired end sequencing	722124	45356740;55267667
ERR381941	JM8_8_clone1_NAG_Indel-sc-2013-09-27T10:56:48Z-1710026	Illumina MiSeq paired end sequencing	550942	34463378;43602191
ERR381944	JM8_8_clone4_NAG_Indel-sc-2013-09-27T11:01:24Z-1710029	Illumina MiSeq paired end sequencing	790838	49698454;60157334
ERR381945	JM8_8_clone5_NAG_Indel-sc-2013-09-27T11:01:30Z-1710030	Illumina MiSeq paired end sequencing	890298	55901331;67675011
ERR381951	JM8_NAG_Indel-sc-2013-09-27T11:01:59Z-1710036	Illumina MiSeq paired end sequencing	1074878	67843166;82771970
ERR381956	JM8_5_clone1_NAG_Indel-sc-2013-09-27T10:56:33Z-1710016	Illumina MiSeq paired end sequencing	884544	28993847;39205378
ERR381958	JM8_5_clone3_NAG_Indel-sc-2013-09-27T10:53:35Z-1710018	Illumina MiSeq paired end sequencing	886692	30083726;41374008
ERR381966	JM8_8_clone1_NAG_Indel-sc-2013-09-27T10:56:48Z-1710026	Illumina MiSeq paired end sequencing	697220	22997557;33526383
ERR381973	JM8_8_clone8_NAG_Indel-sc-2013-09-27T11:01:03Z-1710033	Illumina MiSeq paired end sequencing	984830	32052829;43297620
ERR455240	Lentiviral_mouse_genome_wide_gRNA_library_verion_1_preparation_2_replicated_on_plate_1-sc-1806289	Illumina HiSeq 2000 sequencing	15401351	371543795
ERR309960	JM8_5_clone1-sc-2013-06-06T20:55:33Z-1643295	Illumina MiSeq paired end sequencing	359845	45630093;52925084
ERR309966	JM8_5_clone7-sc-2013-06-06T21:02:38Z-1643301	Illumina MiSeq paired end sequencing	403888	51575661;61934883
ERR309967	JM8_5_clone8-sc-2013-06-06T21:03:02Z-1643302	Illumina MiSeq paired end sequencing	397292	50524348;58354647
ERR309977	JM8_8_clone8-sc-2013-06-06T21:08:53Z-1643312	Illumina MiSeq paired end sequencing	379969	48322635;55491699
ERR338408	6TGR_3_2-sc-2013-06-26T16:19:50Z-1654037	Illumina MiSeq paired end sequencing	440616	16249856;18398916
ERR338410	6TGR_3_4-sc-2013-06-26T16:21:05Z-1654039	Illumina MiSeq paired end sequencing	409340	13366178;15205756
ERR338411	aTR_3_1-sc-2013-06-26T16:21:59Z-1654040	Illumina MiSeq paired end sequencing	493731	16150683;18820049
ERR338412	aTR_3_2-sc-2013-06-26T16:23:36Z-1654041	Illumina MiSeq paired end sequencing	419620	13572363;15357769
ERR338413	aTR_3_3-sc-2013-06-26T16:24:08Z-1654042	Illumina MiSeq paired end sequencing	394896	12746584;15914725
ERR338414	aTR_3_4-sc-2013-06-26T16:22:33Z-1654043	Illumina MiSeq paired end sequencing	476324	15790298;17877375
