gene_annotation	policy	eligible_primary	fixed_exact_baseline_sum	baseline_guides_ge10	fixed_best_control	fixed_best_cellular	joint_control_lower	joint_cellular_lower	joint_control_upper	joint_cellular_upper	fixed_best_log2_ratio	joint_gene_unique_log2_ratio	delta_log2	conditional_low	conditional_high
ARL2	exact	1	365	5	388	37	391	36	391	36	-3.4022181888483285	-3.4523100293475224	-0.05009184049919391	-3.4523100293475224	-3.4523100293475224
ARL2BP	exact	1	572	5	587	532	607	535	607	535	-0.17107341727566078	-0.21126392467938643	-0.04019050740372565	-0.21126392467938643	-0.21126392467938643
ARL3	exact	1	394	5	414	415	407	409	407	409	-0.025789715661904994	-0.022202698413930386	0.0035870172479746075	-0.022202698413930386	-0.022202698413930386
ARL4A	exact	1	647	4	668	722	669	714	669	714	0.08280393635818929	0.0645838648350068	-0.018220071523182488	0.0645838648350068	0.0645838648350068
ARL4C	exact	1	348	5	368	336	358	301	358	301	-0.16032420542125186	-0.2790812077383188	-0.11875700231706693	-0.2790812077383188	-0.2790812077383188
ARL4D	exact	1	136	5	142	88	140	93	140	93	-0.7164786499056056	-0.6167979512697888	0.09968069863581686	-0.6167979512697888	-0.6167979512697888
ARL5A	exact	1	1128	5	1170	1202	1179	1212	1179	1212	0.009645868608892393	0.01054323778589077	0.0008973691769983763	0.01054323778589077	0.01054323778589077
ARL5B	exact	1	952	4	987	749	994	769	994	769	-0.4271183609404672	-0.39931613544203265	0.02780222549843453	-0.39931613544203265	-0.39931613544203265
ARL5C	exact	1	578	5	606	440	606	436	606	436	-0.4906317171365957	-0.5037920824275693	-0.013160365290973641	-0.5037920824275693	-0.5037920824275693
ARL6	exact	1	628	4	655	672	657	666	657	666	0.007672396285732625	-0.0096521100271905	-0.017324506312923125	-0.0096521100271905	-0.0096521100271905
ARL6IP1	exact	1	338	4	357	340	351	336	351	336	-0.09955453459017985	-0.09218427539871715	0.007370259191462697	-0.09218427539871715	-0.09218427539871715
ARL6IP4	exact	1	254	5	269	253	268	259	268	259	-0.11756561668566413	-0.07845364056403063	0.0391119761216335	-0.07845364056403063	-0.07845364056403063
ARL6IP5	exact	1	415	5	433	335	438	334	438	334	-0.3989853179581504	-0.41983672273977113	-0.02085140478162073	-0.41983672273977113	-0.41983672273977113
ARL6IP6	exact	1	174	5	179	96	182	94	182	94	-0.9246490874914698	-0.9787763204828059	-0.05412723299133615	-0.9787763204828059	-0.9787763204828059
ARL8A	exact	1	389	5	396	398	411	389	411	389	-0.0220072326500058	-0.1085351932964554	-0.0865279606464496	-0.1085351932964554	-0.1085351932964554
ARL8B	exact	1	620	5	643	588	642	580	642	580	-0.15816382411875674	-0.17566647815217318	-0.017502654033416443	-0.17566647815217318	-0.17566647815217318
ARL9	exact	1	346	4	364	608	363	625	363	625	0.7100723574502922	0.7537884293097263	0.04371607185943416	0.7537884293097263	0.7537884293097263
ARMC1	exact	1	437	5	448	252	461	259	461	259	-0.8580906882166032	-0.8598622002243924	-0.0017715120077892443	-0.8598622002243924	-0.8598622002243924
ARMC10	exact	1	680	4	704	420	722	425	722	425	-0.7737599969909913	-0.7931045466385774	-0.01934454964758614	-0.7931045466385774	-0.7931045466385774
ARMC3	exact	1	400	5	416	749	430	763	430	763	0.8183458916458128	0.7973488284635086	-0.02099706318230421	0.7973488284635086	0.7973488284635086
