gene_annotation	policy	eligible_primary	fixed_exact_baseline_sum	baseline_guides_ge10	fixed_best_control	fixed_best_cellular	joint_control_lower	joint_cellular_lower	joint_control_upper	joint_cellular_upper	fixed_best_log2_ratio	joint_gene_unique_log2_ratio	delta_log2	conditional_low	conditional_high
PPP1R10	exact	1	266	4	275	22	286	12	286	12	-3.6433215031779818	-4.547801229918679	-0.9044797267406977	-4.547801229918679	-4.547801229918679
RPP21	exact	1	369	5	379	72	396	40	396	40	-2.417313076337031	-3.320593143755853	-0.9032800674188222	-3.320593143755853	-3.320593143755853
LAG3	exact	1	132	5	139	58	142	111	142	111	-1.283022683182282	-0.3831843000682985	0.8998383831139835	-0.3831843000682985	-0.3831843000682985
ARC	exact	1	82	3	86	95	84	51	84	51	0.11353450946252491	-0.7436450000354649	-0.8571795094979897	-0.7436450000354649	-0.7436450000354649
OLFR816	radius_k1	1	426	3	451	506	28	57	1376	1345	0.13657019038378077	0.9833339458431346	0.8467637554593539	-4.610564934587686	5.531770570539177
VMN1R60	radius_k1	1	452	4	473	781	232	213	811	1347	0.6936153565947805	-0.15226073731140236	-0.8458760939061828	-1.95562111586398	2.505716560707975
EXOSC5	exact	1	123	3	126	34	128	19	128	19	-1.9037352088526402	-2.7494884212681288	-0.8457532124154885	-2.7494884212681288	-2.7494884212681288
OLFR345	exact	1	60	2	72	67	67	35	67	35	-0.13235958390060273	-0.9563345684826481	-0.8239749845820453	-0.9563345684826481	-0.9563345684826481
CARS2	exact	1	440	4	451	122	456	70	456	70	-1.9112103294147866	-2.7241857885219276	-0.812975459107141	-2.7241857885219276	-2.7241857885219276
OLFR1170	radius_k1	1	389	3	400	470	71	147	959	1017	0.2031263893833274	1.015433716534315	0.8123073271509876	-2.730833942882676	3.8016756514387207
2610039C10RIK	exact	1	140	3	150	116	149	66	149	66	-0.3986996230419209	-1.1979853296334146	-0.7992857065914938	-1.1979853296334146	-1.1979853296334146
VMN2R14	radius_k1	1	361	4	368	361	136	231	1086	1191	-0.056935063080450966	0.7328451514038847	0.7897802144843357	-2.259870166857546	3.096540004333919
COX15	best_k1	1	175	5	188	105	194	185	194	185	-0.866587615497978	-0.09761705930188772	0.7689705561960903	-0.09761705930188772	-0.09761705930188772
COX15	radius_k1	1	175	5	188	105	194	185	194	185	-0.866587615497978	-0.09761705930188772	0.7689705561960903	-0.09761705930188772	-0.09761705930188772
KLK1B16	radius_k1	1	146	3	153	130	146	73	163	133	-0.263454939736794	-1.0243506005223824	-0.7608956607855883	-1.182740571598217	-0.16332701367119282
MED11	exact	1	116	5	122	2	124	1	124	1	-5.643975935051707	-6.4043055222834235	-0.7603295872317162	-6.4043055222834235	-6.4043055222834235
CCT5	exact	1	761	5	790	122	800	73	800	73	-2.7192498042922995	-3.474351338616392	-0.7551015343240923	-3.474351338616392	-3.474351338616392
MRPS24	best_k1	1	290	4	301	42	319	74	319	74	-2.855889346698882	-2.1297696914213318	0.7261196552775502	-2.1297696914213318	-2.1297696914213318
MRPS24	radius_k1	1	290	4	301	42	319	74	319	74	-2.855889346698882	-2.1297696914213318	0.7261196552775502	-2.1297696914213318	-2.1297696914213318
EZR	best_k1	1	163	3	171	52	175	88	175	88	-1.7370853394431887	-1.0169877611580622	0.7200975782851264	-1.0169877611580622	-1.0169877611580622
EZR	radius_k1	1	163	3	171	52	175	88	175	88	-1.7370853394431887	-1.0169877611580622	0.7200975782851264	-1.0169877611580622	-1.0169877611580622
MRPS24	exact	1	290	4	301	42	308	71	308	71	-2.855889346698882	-2.1385214333075275	0.7173679133913544	-2.1385214333075275	-2.1385214333075275
NIP7	exact	1	442	5	465	213	462	129	462	129	-1.1538111888748024	-1.8657673586536194	-0.711956169778817	-1.8657673586536194	-1.8657673586536194
DIAP3	best_k1	1	282	5	290	231	301	386	301	386	-0.3567920610807915	0.32904432108826354	0.685836382169055	0.32904432108826354	0.32904432108826354
DIAP3	radius_k1	1	282	5	290	231	301	386	301	386	-0.3567920610807915	0.32904432108826354	0.685836382169055	0.32904432108826354	0.32904432108826354
C77080	exact	1	137	5	141	132	148	86	148	86	-0.12407578431781988	-0.8089569841005402	-0.6848811997827203	-0.8089569841005402	-0.8089569841005402
GEMIN7	exact	1	363	4	378	353	379	222	379	222	-0.12784917611283186	-0.7995606404982052	-0.6717114643853733	-0.7995606404982052	-0.7995606404982052
INA	exact	1	136	3	142	73	140	45	140	45	-0.9844118551522386	-1.6558977709587286	-0.67148591580649	-1.6558977709587286	-1.6558977709587286
FUS	exact	1	104	5	106	127	109	82	109	82	0.23037772569652049	-0.43773093629185666	-0.6681086619883772	-0.43773093629185666	-0.43773093629185666
OLFR157	radius_k1	1	122	3	123	152	11	22	223	313	0.2750321099290719	0.9390250493361627	0.6639929394070908	-3.3415440157901424	4.7394935858085265
SELENBP1	radius_k1	1	293	4	300	124	137	89	558	271	-1.3004853395796034	-0.6487381220842645	0.6517472174953389	-2.6708637841555576	0.9522544884558407
GSTP2	radius_k1	1	250	5	259	223	85	115	559	663	-0.24472579811106196	0.40463043559366074	0.6493562337047227	-2.3055113704968355	2.9268340495477965
COMTD1	exact	1	194	5	204	224	200	140	200	140	0.10534851086289909	-0.5422981971704932	-0.6476467080333923	-0.5422981971704932	-0.5422981971704932
OLFR1406	radius_k1	1	693	4	714	836	178	133	1090	1295	0.1981654380060372	-0.4483504232780448	-0.646515861284082	-3.0593442138896956	2.830246945214496
CYP2C66	radius_k1	1	682	5	720	857	461	351	982	1012	0.22187214994892787	-0.4220720495097381	-0.643944199458666	-1.5121988090099328	1.1042532640770761
HES7	exact	1	185	5	199	143	196	90	196	90	-0.504604100483157	-1.1478057061119	-0.6432016056287431	-1.1478057061119	-1.1478057061119
NDUFC2	exact	1	189	3	196	158	193	100	193	100	-0.33931256305569824	-0.9744041559019806	-0.6350915928462824	-0.9744041559019806	-0.9744041559019806
DDX18	exact	1	336	5	339	66	352	44	352	44	-2.381251419680041	-3.0150121072562572	-0.6337606875762161	-3.0150121072562572	-3.0150121072562572
OLFR156	radius_k1	1	182	4	184	215	93	70	305	361	0.19480096209220316	-0.4366091984253422	-0.6314101605175453	-2.144743308356435	1.921691286126982
AURKA	best_k1	1	171	5	178	48	184	77	184	77	-1.9091335127784712	-1.2806186917226576	0.6285148210558136	-1.2806186917226576	-1.2806186917226576
AURKA	radius_k1	1	171	5	178	48	184	77	184	77	-1.9091335127784712	-1.2806186917226576	0.6285148210558136	-1.2806186917226576	-1.2806186917226576
EIF5	exact	1	544	5	566	107	567	165	567	165	-2.4270053871675543	-1.8070552663075587	0.6199501208599956	-1.8070552663075587	-1.8070552663075587
DIAP3	exact	1	282	5	290	231	293	358	293	358	-0.3567920610807915	0.2593465246553535	0.616138585736145	0.2593465246553535	0.2593465246553535
KIF18B	exact	1	1343	5	1389	79	1403	52	1403	52	-4.156733254852705	-4.769833921782901	-0.6131006669301957	-4.769833921782901	-4.769833921782901
OLFR1317	radius_k1	1	1269	4	1314	1887	699	1532	1761	2310	0.4926964115452588	1.1022250204768915	0.6095286089316327	-0.230183491853319	1.694543036065282
ETV2	exact	1	80	3	80	25	98	20	98	20	-1.6877576270796206	-2.2937659057747917	-0.606008278695171	-2.2937659057747917	-2.2937659057747917
EIF5	best_k1	1	544	5	566	107	590	170	590	170	-2.4270053871675543	-1.8214314113094838	0.6055739758580705	-1.8214314113094838	-1.8214314113094838
EIF5	radius_k1	1	544	5	566	107	590	170	590	170	-2.4270053871675543	-1.8214314113094838	0.6055739758580705	-1.8214314113094838	-1.8214314113094838
EXOSC5	best_k1	1	123	3	126	34	207	37	207	37	-1.9037352088526402	-2.4974149266749053	-0.593679717822265	-2.4974149266749053	-2.4974149266749053
EXOSC5	radius_k1	1	123	3	126	34	207	37	207	37	-1.9037352088526402	-2.4974149266749053	-0.593679717822265	-2.4974149266749053	-2.4974149266749053
HSPA8	exact	1	517	5	527	70	547	48	547	48	-2.932742022132253	-3.526068403237907	-0.5933263811056539	-3.526068403237907	-3.526068403237907
OLFR776	radius_k1	1	366	4	373	306	139	172	528	426	-0.31448726003495464	0.2770651488998449	0.5915524089347995	-1.6445732006536509	1.5830145285526036
PPP1CB	exact	1	382	4	390	61	406	42	406	42	-2.6959303237392387	-3.286986696873825	-0.5910563731345864	-3.286986696873825	-3.286986696873825
SLC22A5	radius_k1	1	292	5	301	229	90	103	543	456	-0.4229299394227759	0.164374979479621	0.5873049189023969	-2.421915358464483	2.3053590719645176
SIAH1A	radius_k1	1	265	4	272	334	78	144	351	481	0.2664838900406732	0.8510388426725527	0.5845549526318795	-1.3117212875083555	2.587505148015333
TBCB	exact	1	354	5	363	75	370	51	370	51	-2.2966729055310147	-2.8760952960591144	-0.5794223905280997	-2.8760952960591144	-2.8760952960591144
2310036O22RIK	exact	1	205	5	213	51	213	34	213	34	-2.0808578233737713	-2.6588338937788203	-0.577976070405049	-2.6588338937788203	-2.6588338937788203
OLFR1049	radius_k1	1	258	3	266	306	75	129	562	509	0.1724854499951068	0.7491374574249761	0.5766520074298693	-2.1481670893543447	2.725267505904236
OLFR53	radius_k1	1	307	3	322	158	201	147	659	442	-1.054082411107708	-0.47933097521526263	0.5747514358924455	-2.18992379593884	1.1056315255058933
OLFR138	radius_k1	1	377	4	390	540	218	203	565	686	0.4397059786561719	-0.13187057617085052	-0.5715765548270224	-1.5037643206600726	1.6223603497100032
1700054N08RIK	exact	1	97	4	99	106	100	72	100	72	0.0688189087456904	-0.500408692100493	-0.5692276008461834	-0.500408692100493	-0.500408692100493
DUSP8	exact	1	444	5	467	310	463	207	463	207	-0.6196391874910165	-1.1887240933277428	-0.5690849058367262	-1.1887240933277428	-1.1887240933277428
PPP1R3G	exact	1	132	3	148	198	142	128	142	128	0.38940998540569305	-0.17845965079472484	-0.5678696362004179	-0.17845965079472484	-0.17845965079472484
TRAPPC5	exact	1	449	5	471	115	486	80	486	80	-2.0586310101955383	-2.6246452076029936	-0.5660141974074553	-2.6246452076029936	-2.6246452076029936
HMX3	exact	1	200	5	213	189	210	126	210	126	-0.20130431238589774	-0.763948939308585	-0.5626446269226872	-0.763948939308585	-0.763948939308585
ST6GALNAC4	exact	1	265	5	274	352	270	235	270	235	0.33155101734445835	-0.22916762515053105	-0.5607186424949894	-0.22916762515053105	-0.22916762515053105
DUS1L	exact	1	139	3	149	116	148	78	148	78	-0.3890816204803237	-0.9489644628456376	-0.5598828423653139	-0.9489644628456376	-0.9489644628456376
2410015M20RIK	exact	1	150	3	159	17	154	11	154	11	-3.217395687756402	-3.777167162783861	-0.5597714750274592	-3.777167162783861	-3.777167162783861
H2-Q4	radius_k1	1	318	5	333	342	117	177	488	521	0.009151135726804684	0.5658921768905456	0.5567410411637409	-1.4898056285128396	2.1207404050182666
DEFB15	radius_k1	1	206	2	216	288	64	58	366	469	0.3849382029822583	-0.17012862677634877	-0.555066829758607	-2.6765707594869066	2.8344880012940212
GTF2E2	exact	1	389	5	406	140	409	96	409	96	-1.5619513127906008	-2.1145286953094273	-0.5525773825188265	-2.1145286953094273	-2.1145286953094273
TGTP1	radius_k1	1	306	2	319	280	10	13	449	305	-0.2170812512747007	0.33330398844820935	0.5503852397229101	-5.086555894287478	4.8334450561034705
B3GAT2	exact	1	197	5	206	143	207	98	207	98	-0.5543571356802567	-1.10418179771441	-0.5498246620341533	-1.10418179771441	-1.10418179771441
RAB7	exact	1	387	5	403	93	406	64	406	64	-2.1387964943266424	-2.685150377588273	-0.5463538832616304	-2.685150377588273	-2.685150377588273
TMEM234	exact	1	311	3	330	372	326	252	326	252	0.14332406290533306	-0.40006569484377263	-0.5433897577491057	-0.40006569484377263	-0.40006569484377263
MCL1	exact	1	164	5	177	47	171	31	171	31	-1.9310856969975958	-2.4740509336093948	-0.542965236611799	-2.4740509336093948	-2.4740509336093948
POU3F3	exact	1	108	3	115	223	112	149	112	149	0.9231158888307611	0.3809543920445689	-0.5421614967861923	0.3809543920445689	0.3809543920445689
ACLY	exact	1	172	5	183	115	179	164	179	164	-0.6971533023636542	-0.15516235102430906	0.5419909513393452	-0.15516235102430906	-0.15516235102430906
EZR	exact	1	163	3	171	52	167	74	167	74	-1.7370853394431887	-1.1981148558194723	0.5389704836237164	-1.1981148558194723	-1.1981148558194723
OLFR806	radius_k1	1	653	4	679	784	287	228	1493	1552	0.17803380526420712	-0.3606338817101668	-0.538667686974374	-2.73769725818922	2.403693316339607
ZFP942	radius_k1	1	356	4	366	488	198	382	552	725	0.3852792728980743	0.9170546495005572	0.5317753766024829	-0.5597808076352787	1.8405705159872876
EDF1	exact	1	156	2	168	160	163	108	163	108	-0.09944138499605432	-0.6208616839901022	-0.521420298994048	-0.6208616839901022	-0.6208616839901022
OSBP	exact	1	195	3	206	57	208	40	208	40	-1.873774011411569	-2.393319661496538	-0.5195456500849689	-2.393319661496538	-2.393319661496538
RPL27A	exact	1	464	2	489	57	479	39	479	39	-3.118941089595819	-3.630872347777527	-0.5119312581817077	-3.630872347777527	-3.630872347777527
SORCS2	exact	1	199	4	210	164	208	114	208	114	-0.3849987402676537	-0.8939658762842188	-0.5089671360165651	-0.8939658762842188	-0.8939658762842188
GLCCI1	exact	1	121	4	127	263	125	182	125	182	1.0180396238418576	0.5109430088801086	-0.5070966149617491	0.5109430088801086	0.5109430088801086
SLURP1	exact	1	206	3	216	530	222	384	222	384	1.263719635251541	0.7599121711715673	-0.5038074640799737	0.7599121711715673	0.7599121711715673
SERPINB3B	radius_k1	1	935	4	973	850	435	268	1100	988	-0.22413583399340867	-0.7270167215499511	-0.5028808875565425	-2.0644312428426437	1.1533021561938444
ACLY	best_k1	1	172	5	183	115	192	171	192	171	-0.6971533023636542	-0.19591596034595055	0.5012373420177036	-0.19591596034595055	-0.19591596034595055
ACLY	radius_k1	1	172	5	183	115	192	171	192	171	-0.6971533023636542	-0.19591596034595055	0.5012373420177036	-0.19591596034595055	-0.19591596034595055
OLFR1408	radius_k1	1	395	3	405	600	100	210	1012	1372	0.5371962405518622	1.0373586409509683	0.5001624003991061	-2.2952958605294524	3.7422726517771334
