scope	left	right	gene	left_guides	right_guides	left_lfc	right_lfc	delta_lfc	left_fdr	right_fdr	left_rank	right_rank	left_call_0_05	right_call_0_05	left_distance_from_0_05	right_distance_from_0_05
thin	joint_exact	joint_best	PAG1	3	3	-0.73583	-0.12043	0.6154	1.0	1.0	4627.0	10239.0	0	0	0.95	0.95
thin	joint_exact	joint_best	PAXBP1	4	4	-2.8093	-2.0665	0.7427999999999999	0.057362	0.052928	1207.0	1140.0	0	0	0.0073620000000000005	0.002928
thin	joint_exact	joint_best	PDAP1	4	4	-2.4109	-1.513	0.8978999999999999	0.209933	0.223818	1815.0	1849.0	0	0	0.159933	0.17381799999999997
thin	joint_exact	joint_best	PDPK1	4	4	-5.5587	-4.7631	0.7956000000000003	0.012774	0.018215	593.0	718.0	1	1	0.037226	0.03178500000000001
thin	joint_exact	joint_best	PFDN2	4	4	-5.6119	-4.3978	1.2141000000000002	0.000874	0.001111	14.0	33.0	1	1	0.049126	0.048889
thin	joint_exact	joint_best	PGS1	4	4	-6.1685	-4.484	1.6844999999999999	0.000928	0.004642	27.0	256.0	1	1	0.049072000000000005	0.045358
thin	joint_exact	joint_best	PHF5A	4	4	-6.0282	-4.7886	1.2396000000000003	0.000928	0.00302	46.0	155.0	1	1	0.049072000000000005	0.04698
thin	joint_exact	joint_best	PKMYT1	4	4	-4.1149	-3.5646	0.5502999999999996	0.081752	0.073718	1359.0	1284.0	0	0	0.031752	0.023718000000000003
thin	joint_exact	joint_best	PLK4	4	4	-3.9074	-2.7981	1.1093000000000002	0.006337	0.006596	372.0	361.0	1	1	0.043663	0.043404000000000005
thin	joint_exact	joint_best	PMVK	4	4	-3.5059	-2.6385	0.8674	0.015989	0.026677	675.0	846.0	1	1	0.034011	0.023323000000000003
thin	joint_exact	joint_best	PNPT1	4	4	-5.3057	-3.8285	1.4771999999999998	0.003569	0.006085	211.0	327.0	1	1	0.046431	0.043915
thin	joint_exact	joint_best	POLA2	4	4	-4.4455	-3.7113	0.7342	0.004986	0.004308	276.0	229.0	1	1	0.045014000000000005	0.045692
thin	joint_exact	joint_best	POLD1	4	4	-6.7682	-5.1786	1.5896	0.008705	0.020093	475.0	762.0	1	1	0.041295000000000005	0.029907000000000003
thin	joint_exact	joint_best	POLE	4	4	-4.3417	-2.8131	1.5286000000000004	0.01853	0.069436	746.0	1261.0	1	0	0.03147	0.019435999999999995
thin	joint_exact	joint_best	POLE4	4	4	-2.0309	-1.4946	0.5363	0.241086	0.250077	1892.0	1913.0	0	0	0.19108599999999998	0.200077
thin	joint_exact	joint_best	POLG	4	4	-1.7108	-1.0592	0.6516000000000002	0.241072	0.236326	1891.0	1886.0	0	0	0.19107200000000002	0.186326
thin	joint_exact	joint_best	POLR1A	4	4	-6.5181	-5.8703	0.6477999999999993	0.000928	0.001615	34.0	95.0	1	1	0.049072000000000005	0.048385000000000004
thin	joint_exact	joint_best	POLR1C	3	3	-5.6064	-4.2943	1.3121	0.010852	0.010525	592.0	564.0	1	1	0.039148	0.039475
thin	joint_exact	joint_best	POLR2A	4	4	-4.9257	-3.9006	1.0251000000000001	0.068141	0.046545	1283.0	1075.0	0	1	0.01814099999999999	0.0034549999999999997
thin	joint_exact	joint_best	POLR2B	4	4	-4.8051	-3.8947	0.9104000000000005	0.042598	0.064465	1069.0	1226.0	1	0	0.007402000000000006	0.014464999999999992
thin	joint_exact	joint_best	POLR2E	4	4	-2.97	-2.3109	0.6591	0.35274	0.517639	2156.0	2385.0	0	0	0.30274	0.46763899999999997
thin	joint_exact	joint_best	POLR2F	4	4	-5.202	-4.4651	0.7369000000000003	0.02023	0.018315	786.0	723.0	1	1	0.02977	0.031685000000000005
thin	joint_exact	joint_best	POLR2J3	3	3	-8.8343	-4.1894	4.644900000000001	0.008847	0.011081	522.0	579.0	1	1	0.041153	0.038919
thin	joint_exact	joint_best	POLR2L	4	4	-7.6842	-5.8638	1.8203999999999994	0.001765	0.001344	113.0	58.0	1	1	0.048235	0.048656000000000005
thin	joint_exact	joint_best	POLR3F	4	4	-4.2183	-3.4151	0.8032000000000004	0.121473	0.115383	1546.0	1485.0	0	0	0.071473	0.065383
thin	joint_exact	joint_best	POP5	4	4	-5.0047	-3.9829	1.0217999999999998	0.068676	0.119159	1291.0	1504.0	0	0	0.018675999999999998	0.069159
thin	joint_exact	joint_best	POP7	4	4	-3.0684	-2.1261	0.9422999999999999	0.024274	0.0244	863.0	815.0	1	1	0.025726000000000002	0.0256
thin	joint_exact	joint_best	PPAN-P2RY11	4	4	-2.5267	-1.5683	0.9583999999999999	0.19701	0.203507	1781.0	1777.0	0	0	0.14700999999999997	0.153507
thin	joint_exact	joint_best	PPIAL4C	4	4	-5.2316	-4.2867	0.9449000000000005	0.007346	0.007038	431.0	387.0	1	1	0.042654000000000004	0.042962
thin	joint_exact	joint_best	PPIAL4E	4	4	-7.2738	-4.809	2.4647999999999994	0.001079	0.003532	68.0	191.0	1	1	0.048921000000000006	0.046468
thin	joint_exact	joint_best	PPP2R1A	4	4	-4.1746	-3.5307	0.6438999999999999	0.006992	0.006059	413.0	322.0	1	1	0.043008000000000005	0.043941
thin	joint_exact	joint_best	PPP4C	4	4	-5.3587	-3.7298	1.6288999999999998	0.010875	0.008891	543.0	443.0	1	1	0.03912500000000001	0.04110900000000001
thin	joint_exact	joint_best	PPP6C	4	4	-7.8898	-5.7267	2.1631	0.005909	0.005559	342.0	291.0	1	1	0.044091000000000005	0.044441
thin	joint_exact	joint_best	PRIM1	4	4	-3.8373	-3.2019	0.6353999999999997	0.007476	0.006351	436.0	346.0	1	1	0.042524000000000006	0.043649
thin	joint_exact	joint_best	PRMT1	4	4	-4.5378	-4.0057	0.5320999999999998	0.000928	0.001111	47.0	31.0	1	1	0.049072000000000005	0.048889
thin	joint_exact	joint_best	PRMT5	4	4	-4.8206	-3.7087	1.1118999999999999	0.000928	0.001111	19.0	41.0	1	1	0.049072000000000005	0.048889
thin	joint_exact	joint_best	PRPF19	4	4	-8.2592	-7.69	0.5691999999999995	0.001408	0.001344	103.0	66.0	1	1	0.048592	0.048656000000000005
thin	joint_exact	joint_best	PRPF38A	4	4	-4.3137	-3.2669	1.0467999999999997	0.033076	0.072981	964.0	1283.0	1	0	0.016924	0.022981
thin	joint_exact	joint_best	PSMA3	4	4	-3.097	-2.0929	1.0040999999999998	0.087044	0.494635	1384.0	2362.0	0	0	0.037043999999999994	0.444635
thin	joint_exact	joint_best	PSMB2	4	4	-4.6988	-4.0577	0.6411000000000007	0.006546	0.007904	382.0	419.0	1	1	0.043454000000000007	0.042096
thin	joint_exact	joint_best	PSMB4	4	4	-4.5604	-3.9814	0.5789999999999997	0.002122	0.001733	146.0	100.0	1	1	0.047878000000000004	0.048267000000000004
thin	joint_exact	joint_best	PSMC5	4	4	-4.1833	-3.0661	1.1172	0.042336	0.041797	1066.0	1035.0	1	1	0.007664000000000004	0.008203000000000002
thin	joint_exact	joint_best	PSMD13	4	4	-3.0737	-2.4145	0.6592000000000002	0.020489	0.204581	795.0	1780.0	1	0	0.029511000000000003	0.15458100000000002
thin	joint_exact	joint_best	PSMD6	4	4	-3.1262	-2.4497	0.6764999999999999	0.006661	0.006632	407.0	364.0	1	1	0.043339	0.043368000000000004
thin	joint_exact	joint_best	PSMG2	4	4	-3.4705	-2.8609	0.6095999999999999	0.007773	0.021094	448.0	774.0	1	1	0.042227	0.028906
thin	joint_exact	joint_best	PWP2	3	3	-3.8986	-3.2421	0.6564999999999999	0.008913	0.009394	524.0	520.0	1	1	0.041087	0.040606
thin	joint_exact	joint_best	QRSL1	4	4	-3.8961	-2.9045	0.9916	0.071244	0.066705	1308.0	1241.0	0	0	0.021244	0.016704999999999998
thin	joint_exact	joint_best	RABGGTB	4	4	-7.1938	-5.3687	1.8251000000000008	0.001765	0.003532	112.0	189.0	1	1	0.048235	0.046468
thin	joint_exact	joint_best	RANGAP1	4	4	-3.8152	-3.0755	0.7397	0.005699	0.006059	324.0	326.0	1	1	0.044301	0.043941
thin	joint_exact	joint_best	RBBP4	4	4	-5.6986	-3.9208	1.7778	0.003724	0.00302	220.0	156.0	1	1	0.046276000000000005	0.04698
thin	joint_exact	joint_best	RBM39	4	4	-4.8338	-3.9403	0.8935	0.004986	0.006188	274.0	339.0	1	1	0.045014000000000005	0.043812000000000004
thin	joint_exact	joint_best	RBM8A	4	4	-3.9552	-3.3727	0.5825	0.005642	0.005091	320.0	267.0	1	1	0.044358	0.044909000000000004
thin	joint_exact	joint_best	RNF20	4	4	-2.4581	-1.8069	0.6512	0.153273	0.156912	1661.0	1653.0	0	0	0.10327299999999999	0.106912
thin	joint_exact	joint_best	RPA2	4	4	-2.3376	-1.6068	0.7308000000000001	0.254957	0.250884	1931.0	1914.0	0	0	0.204957	0.200884
thin	joint_exact	joint_best	RPIA	4	4	-5.2785	-3.2523	2.0262000000000002	0.05295	0.111604	1165.0	1459.0	0	0	0.0029499999999999943	0.06160399999999999
thin	joint_exact	joint_best	RPL11	4	4	-7.6401	-6.699	0.9411000000000005	0.000874	0.005008	12.0	257.0	1	1	0.049126	0.044992000000000004
thin	joint_exact	joint_best	RPL15	4	4	-5.1548	-3.5155	1.6393	0.010852	0.040772	532.0	1022.0	1	1	0.039148	0.009228
thin	joint_exact	joint_best	RPL17-C18orf32	4	4	-6.5342	-4.8438	1.6904000000000003	0.000939	0.001344	51.0	70.0	1	1	0.049061	0.048656000000000005
thin	joint_exact	joint_best	RPL18	4	4	-6.474	-5.6526	0.8214000000000006	0.009132	0.006787	492.0	376.0	1	1	0.040868	0.043213
thin	joint_exact	joint_best	RPL19	4	4	-6.1708	-5.2928	0.8780000000000001	0.00045	0.000707	3.0	6.0	1	1	0.049550000000000004	0.049293000000000003
thin	joint_exact	joint_best	RPL27	4	4	-7.8207	-6.0854	1.7353000000000005	0.000939	0.003532	52.0	185.0	1	1	0.049061	0.046468
thin	joint_exact	joint_best	RPL28	4	4	-3.0127	-2.0087	1.004	0.052838	0.052576	1162.0	1138.0	0	0	0.0028380000000000002	0.002575999999999995
thin	joint_exact	joint_best	RPL31	4	4	-6.1725	-4.8389	1.3336000000000006	0.001818	0.001971	125.0	109.0	1	1	0.048182	0.048029
thin	joint_exact	joint_best	RPL35A	4	4	-6.1393	-5.4852	0.6541000000000006	0.000928	0.001344	44.0	54.0	1	1	0.049072000000000005	0.048656000000000005
thin	joint_exact	joint_best	RPL37	4	4	-4.4279	-3.7212	0.7067000000000001	0.00315	0.006373	187.0	353.0	1	1	0.04685	0.043627
thin	joint_exact	joint_best	RPL38	4	4	-3.8003	-2.6169	1.1834000000000002	0.057051	0.060239	1204.0	1190.0	0	0	0.007050999999999995	0.010238999999999998
thin	joint_exact	joint_best	RPL39	4	4	-4.7993	-4.2074	0.5918999999999999	0.016042	0.016744	681.0	675.0	1	1	0.033958	0.03325600000000001
thin	joint_exact	joint_best	RPL4	4	4	-8.2404	-6.3271	1.9132999999999996	0.001155	0.002957	90.0	147.0	1	1	0.048845	0.047043
thin	joint_exact	joint_best	RPL6	4	4	-6.4279	-4.9565	1.4714	0.000825	0.002723	11.0	136.0	1	1	0.049175	0.047277
thin	joint_exact	joint_best	RPL7L1	4	4	-3.092	-2.1622	0.9298000000000002	0.059917	0.062062	1223.0	1201.0	0	0	0.009916999999999995	0.012061999999999996
thin	joint_exact	joint_best	RPLP1	4	4	-4.6203	-2.1172	2.5031000000000003	0.081752	0.076048	1358.0	1296.0	0	0	0.031752	0.026048
thin	joint_exact	joint_best	RPP21	4	4	-9.1529	-5.0054	4.147500000000001	0.00045	0.001111	1.0	47.0	1	1	0.049550000000000004	0.048889
thin	joint_exact	joint_best	RPS12	4	4	-5.9789	-4.8104	1.1685000000000008	0.005526	0.010799	314.0	515.0	1	1	0.044474	0.039201
thin	joint_exact	joint_best	RPS14	4	4	-6.0982	-5.5152	0.5830000000000002	0.001408	0.003575	106.0	198.0	1	1	0.048592	0.046425
thin	joint_exact	joint_best	RPS16	4	4	-3.9616	-3.3895	0.5720999999999998	0.001931	0.001893	140.0	102.0	1	1	0.048069	0.048107000000000004
thin	joint_exact	joint_best	RPS17	4	4	-8.1316	-6.7661	1.3655000000000008	0.001407	0.003634	102.0	203.0	1	1	0.048593000000000004	0.046366000000000004
thin	joint_exact	joint_best	RPS20	4	4	-4.94	-4.3407	0.5993000000000004	0.006645	0.006685	403.0	367.0	1	1	0.043355000000000005	0.043315000000000006
thin	joint_exact	joint_best	RPS21	4	4	-3.1955	-2.4494	0.7461000000000002	0.018829	0.039794	752.0	1008.0	1	1	0.031171000000000004	0.010206
thin	joint_exact	joint_best	RPS24	4	4	-5.0384	-4.2142	0.8242000000000003	0.005686	0.005773	323.0	300.0	1	1	0.044314000000000006	0.044227
thin	joint_exact	joint_best	RPS26	2	2	-3.0914	-2.0137	1.0777	0.082269	0.188037	1576.0	2002.0	0	0	0.03226899999999999	0.13803700000000002
thin	joint_exact	joint_best	RPS27	4	4	-6.4273	-5.8926	0.5347	0.00321	0.002294	200.0	122.0	1	1	0.046790000000000005	0.047706000000000005
thin	joint_exact	joint_best	RPS3A	4	4	-9.5385	-8.436	1.102500000000001	0.00045	0.000707	2.0	1.0	1	1	0.049550000000000004	0.049293000000000003
thin	joint_exact	joint_best	RPSA	4	4	-4.8869	-4.1028	0.7840999999999996	0.016547	0.029056	691.0	876.0	1	1	0.033453000000000004	0.020944000000000004
thin	joint_exact	joint_best	RRM2	4	4	-3.383	-1.8831	1.4999	0.28174	0.452868	2004.0	2320.0	0	0	0.23174	0.402868
thin	joint_exact	joint_best	RRN3	4	4	-6.2744	-5.0017	1.2727000000000004	0.010425	0.017055	512.0	686.0	1	1	0.039575	0.032945
thin	joint_exact	joint_best	RRP12	4	4	-5.3909	-4.6904	0.7004999999999999	0.042536	0.117076	1068.0	1491.0	1	0	0.007464000000000005	0.067076
thin	joint_exact	joint_best	RRP9	4	4	-6.822	-3.4372	3.3848000000000003	0.007576	0.017163	444.0	690.0	1	1	0.042424	0.032837000000000005
thin	joint_exact	joint_best	RTEL1	3	3	-4.7324	-3.9426	0.7898000000000001	0.014203	0.012743	694.0	638.0	1	1	0.035797	0.037257
thin	joint_exact	joint_best	RTF1	4	4	-5.3104	-4.2593	1.0511	0.027726	0.023852	899.0	806.0	1	1	0.022274000000000002	0.026148
thin	joint_exact	joint_best	SARS	4	4	-4.8	-3.942	0.8579999999999997	0.016878	0.027063	701.0	854.0	1	1	0.033122	0.022937000000000003
thin	joint_exact	joint_best	SARS2	4	4	-2.6759	-2.037	0.6389	0.040125	0.04882	1049.0	1098.0	1	1	0.009875000000000002	0.0011800000000000005
thin	joint_exact	joint_best	SDE2	3	3	-3.5616	-1.7337	1.8278999999999999	0.245218	0.366624	2024.0	2293.0	0	0	0.195218	0.316624
thin	joint_exact	joint_best	SDHA	4	4	-5.9817	-4.4823	1.4993999999999996	0.005719	0.006059	331.0	323.0	1	1	0.044281	0.043941
thin	joint_exact	joint_best	SEH1L	3	3	-3.9881	-3.015	0.9731000000000001	0.043485	0.042419	1155.0	1119.0	1	1	0.006515	0.007581000000000004
