scope	left	right	gene	left_guides	right_guides	left_lfc	right_lfc	delta_lfc	left_fdr	right_fdr	left_rank	right_rank	left_call_0_05	right_call_0_05	left_distance_from_0_05	right_distance_from_0_05
full	joint_exact	joint_best	SETD1A	3	3	-3.2377	-2.6647	0.573	0.057372	0.049215	1281.0	1180.0	0	1	0.007371999999999997	0.000785000000000001
full	joint_exact	joint_best	SF3B4	4	4	-4.6263	-3.8396	0.7866999999999997	0.049622	0.143497	1138.0	1605.0	1	0	0.00037800000000000333	0.09349700000000001
full	joint_exact	joint_best	SHFM1	4	4	-2.7886	-2.7397	0.048900000000000166	0.049492	0.055697	1134.0	1161.0	1	0	0.0005080000000000015	0.005697000000000001
full	joint_exact	joint_best	SMEK1	4	4	-2.1351	-2.1155	0.019600000000000062	0.046618	0.058103	1101.0	1178.0	1	0	0.003382000000000003	0.008102999999999999
full	joint_exact	joint_best	SMG1	4	4	-2.4179	-2.1106	0.30730000000000013	0.035202	0.201834	998.0	1771.0	1	0	0.014798000000000006	0.15183400000000002
full	joint_exact	joint_best	SMN1	4	4	-2.4605	-1.9478	0.5127000000000002	0.036408	0.127719	1018.0	1533.0	1	0	0.013592	0.077719
full	joint_exact	joint_best	SNAPC5	4	4	-1.9589	-1.8865	0.07240000000000002	0.042534	0.054742	1069.0	1150.0	1	0	0.007466	0.004741999999999996
full	joint_exact	joint_best	SNRNP200	3	3	-3.9737	-3.2634	0.7103000000000002	0.020009	0.068707	843.0	1330.0	1	0	0.029991000000000004	0.018707
full	joint_exact	joint_best	SRSF2	4	4	-6.5455	-3.6974	2.8480999999999996	0.027018	0.203334	893.0	1779.0	1	0	0.022982000000000002	0.15333399999999997
full	joint_exact	joint_best	STRIP1	4	4	-1.8175	-1.7804	0.03709999999999991	0.05415	0.048044	1175.0	1093.0	0	1	0.004149999999999994	0.0019559999999999994
full	joint_exact	joint_best	SYS1	4	4	-2.2336	-2.0645	0.16910000000000025	0.026259	0.154063	882.0	1643.0	1	0	0.023741	0.104063
full	joint_exact	joint_best	TBCC	4	4	-3.431	-2.3334	1.0976	0.04858	0.07428	1122.0	1285.0	1	0	0.0014200000000000046	0.024279999999999996
full	joint_exact	joint_best	TCEB2	4	4	-5.63	-2.4295	3.2005	0.035202	0.173574	999.0	1697.0	1	0	0.014798000000000006	0.123574
full	joint_exact	joint_best	TEFM	4	4	-2.6885	-2.7478	-0.05929999999999991	0.057663	0.049749	1205.0	1110.0	0	1	0.007662999999999996	0.0002510000000000012
full	joint_exact	joint_best	THOC3	4	4	-2.919	-2.3465	0.5725000000000002	0.034904	0.068429	992.0	1251.0	1	0	0.015096000000000005	0.018429
